Cuenta,Tipo de Documento,Identificacion Cliente,Nombre Cliente,Documento Afectado,Fecha emision,Fecha Vencimiento,Suma de Edad Cartera,Suma de Saldo Total Cartera,email
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35599,2022/09/05,2022/10/05,29," $  456.831,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35600,2022/09/05,2022/10/05,29," $  456.831,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35601,2022/09/05,2022/10/05,29," $  456.831,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35602,2022/09/05,2022/10/05,29," $  456.831,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35603,2022/09/05,2022/10/05,29," $  456.831,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35741,2022/09/06,2022/10/06,28," $  809.442,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35742,2022/09/06,2022/10/06,28," $  123.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35844,2022/09/06,2022/10/06,28," $  347.400,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35845,2022/09/06,2022/10/06,28," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35846,2022/09/06,2022/10/06,28," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35848,2022/09/06,2022/10/06,28," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35849,2022/09/06,2022/10/06,28," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35850,2022/09/06,2022/10/06,28," $  371.042,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35852,2022/09/06,2022/10/06,28," $  139.800,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35853,2022/09/06,2022/10/06,28," $  1.839.483,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35855,2022/09/06,2022/10/06,28," $  371.042,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35856,2022/09/06,2022/10/06,28," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35857,2022/09/06,2022/10/06,28," $  207.187,43 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35858,2022/09/06,2022/10/06,28," $  837.523,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35859,2022/09/06,2022/10/06,28," $  837.523,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,35860,2022/09/06,2022/10/06,28," $  207.187,43 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36374,2022/09/08,2022/10/08,26," $  117.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36388,2022/09/08,2022/10/08,26," $  617.214,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36389,2022/09/08,2022/10/08,26," $  1.226.322,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36392,2022/09/08,2022/10/08,26," $  535.382,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36393,2022/09/08,2022/10/08,26," $  154.303,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36394,2022/09/08,2022/10/08,26," $  466.674,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36395,2022/09/08,2022/10/08,26," $  1.124.128,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36396,2022/09/08,2022/10/08,26," $  1.124.128,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36401,2022/09/08,2022/10/08,26," $  617.214,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36402,2022/09/08,2022/10/08,26," $  1.003.214,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36408,2022/09/08,2022/10/08,26," $  385.517,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36411,2022/09/08,2022/10/08,26," $  331.574,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36412,2022/09/08,2022/10/08,26," $  69.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36413,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36414,2022/09/08,2022/10/08,26," $  341.320,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36415,2022/09/08,2022/10/08,26," $  331.574,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36416,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36417,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36418,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36419,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36420,2022/09/08,2022/10/08,26," $  410.125,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36565,2022/09/09,2022/10/09,25," $  515.477,91 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36567,2022/09/09,2022/10/09,25," $  515.477,91 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36569,2022/09/09,2022/10/09,25," $  515.477,91 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36640,2022/09/09,2022/10/09,25," $  3.578.220,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36703,2022/09/12,2022/10/12,22," $  1.449.816,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36704,2022/09/12,2022/10/12,22," $  118.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,36969,2022/09/13,2022/10/13,21," $  1.226.322,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37045,2022/09/13,2022/10/13,21," $  1.978.443,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37532,2022/09/16,2022/10/16,18," $  193.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37556,2022/09/16,2022/10/16,18," $  165.787,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37557,2022/09/16,2022/10/16,18," $  439.654,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37727,2022/09/20,2022/10/20,14," $  100.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37746,2022/09/20,2022/10/20,14," $  724.908,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37748,2022/09/20,2022/10/20,14," $  286.508,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37749,2022/09/20,2022/10/20,14," $  85.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37750,2022/09/20,2022/10/20,14," $  113.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37759,2022/09/20,2022/10/20,14," $  2.899.632,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37975,2022/09/21,2022/10/21,13," $  501.317,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37976,2022/09/21,2022/10/21,13," $  343.154,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37977,2022/09/21,2022/10/21,13," $  85.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,37978,2022/09/21,2022/10/21,13," $  1.485.135,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38038,2022/09/21,2022/10/21,13," $  285.640,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38220,2022/09/23,2022/10/23,11," $  204.387,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38305,2022/09/28,2022/10/28,6," $  752.217,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38327,2022/09/28,2022/10/28,6," $  306.580,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38328,2022/09/28,2022/10/28,6," $  150.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38329,2022/09/28,2022/10/28,6," $  150.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38330,2022/09/28,2022/10/28,6," $  150.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38331,2022/09/28,2022/10/28,6," $  289.500,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38332,2022/09/28,2022/10/28,6," $  113.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38333,2022/09/28,2022/10/28,6," $  510.967,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38334,2022/09/28,2022/10/28,6," $  414.467,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38335,2022/09/29,2022/10/29,5," $  497.361,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38336,2022/09/29,2022/10/29,5," $  497.361,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38343,2022/09/29,2022/10/29,5," $  414.467,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38344,2022/09/29,2022/10/29,5," $  497.361,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38345,2022/09/29,2022/10/29,5," $  289.500,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38346,2022/09/29,2022/10/29,5," $  1.839.483,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38553,2022/10/06,2022/11/05,-2," $  948.402,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38758,2022/10/08,2022/11/07,-4," $  100.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38888,2022/10/08,2022/11/07,-4," $  473.700,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38889,2022/10/08,2022/11/07,-4," $  87.000,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38890,2022/10/08,2022/11/07,-4," $  395.167,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38891,2022/10/09,2022/11/08,-5," $  715.354,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,38892,2022/10/09,2022/11/08,-5," $  1.077.615,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,39668,2022/10/15,2022/11/14,-11," $  237.100,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,39671,2022/10/15,2022/11/14,-11," $  85.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,39672,2022/10/15,2022/11/14,-11," $  248.680,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,39985,2022/10/19,2022/11/18,-15," $  82.900,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40042,2022/10/20,2022/11/19,-16," $  1.767.590,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40043,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40044,2022/10/20,2022/11/19,-16," $  371.042,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40045,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40046,2022/10/20,2022/11/19,-16," $  371.042,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40047,2022/10/20,2022/11/19,-16," $  371.042,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40048,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40049,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40050,2022/10/20,2022/11/19,-16," $  270.200,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40051,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40052,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40053,2022/10/20,2022/11/19,-16," $  445.251,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40054,2022/10/20,2022/11/19,-16," $  271.937,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40564,2022/10/25,2022/11/24,-21," $  1.978.443,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40565,2022/10/25,2022/11/24,-21," $  3.127.275,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40566,2022/10/25,2022/11/24,-21," $  1.633.648,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40610,2022/10/26,2022/11/25,-22," $  742.085,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40611,2022/10/26,2022/11/25,-22," $  239.127,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40612,2022/10/26,2022/11/25,-22," $  890.502,00 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40613,2022/10/26,2022/11/25,-22," $  222.625,50 ",f_sierra@aviatur.com
13050502,FVA ,860000018,AGENCIA DE VIAJES Y TURISMO AVIATUR SAS,40614,2022/10/26,2022/11/25,-22," $  3.267.297,00 ",f_sierra@aviatur.com
13050502,FVA ,901147099,AGENCIA TRAVEL HOTELS SAS,34661,2022/08/19,2022/09/18,46," $  71.340,00 ",comercial1@agenciatravelhotels.com
13050502,FVA ,901147099,AGENCIA TRAVEL HOTELS SAS,34662,2022/08/19,2022/09/18,46," $  71.260,00 ",comercial1@agenciatravelhotels.com
13050502,FVA ,890326050,AGRICOLA HIMALAYA S.A.,38637,2022/10/06,2022/11/05,-2," $  257.700,00 ",paola.martinez@agricolahimalaya.com
13050502,FVA ,890326050,AGRICOLA HIMALAYA S.A.,40894,2022/11/01,2022/12/01,-28," $  120.000,00 ",paola.martinez@agricolahimalaya.com
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,33379,2022/08/01,2022/08/31,64," $  85.900,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,33405,2022/08/01,2022/08/31,64," $  55.900,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,36200,2022/09/07,2022/10/07,27," $  60.900,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,36201,2022/09/07,2022/10/07,27," $  147.600,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,38638,2022/10/06,2022/11/05,-2," $  71.900,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,38639,2022/10/06,2022/11/05,-2," $  235.074,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,38977,2022/10/09,2022/11/08,-5," $  292.974,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,39744,2022/10/16,2022/11/15,-12," $  80.900,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,40202,2022/10/21,2022/11/20,-17," $  400.668,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,40895,2022/11/01,2022/12/01,-28," $  301.659,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,830016868,AGROAVICOLA SAN MARINO S A,40896,2022/11/01,2022/12/01,-28," $  121.800,00 ",auxiliardetesoreria@sanmarino.com.co
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39635,2022/10/15,2022/11/14,-11," $  250.707,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39636,2022/10/15,2022/11/14,-11," $  165.787,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39637,2022/10/15,2022/11/14,-11," $  148.000,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39638,2022/10/15,2022/11/14,-11," $  250.707,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39639,2022/10/15,2022/11/14,-11," $  131.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39640,2022/10/15,2022/11/14,-11," $  192.903,50 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39641,2022/10/15,2022/11/14,-11," $  76.900,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39642,2022/10/15,2022/11/14,-11," $  241.057,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39643,2022/10/15,2022/11/14,-11," $  135.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39644,2022/10/15,2022/11/14,-11," $  289.210,50 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39645,2022/10/15,2022/11/14,-11," $  235.267,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39646,2022/10/15,2022/11/14,-11," $  250.707,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39647,2022/10/15,2022/11/14,-11," $  158.067,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39648,2022/10/15,2022/11/14,-11," $  181.292,62 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39649,2022/10/15,2022/11/14,-11," $  129.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39650,2022/10/15,2022/11/14,-11," $  148.000,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39651,2022/10/15,2022/11/14,-11," $  173.223,29 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39652,2022/10/15,2022/11/14,-11," $  178.544,30 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,39653,2022/10/15,2022/11/14,-11," $  92.000,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40330,2022/10/21,2022/11/20,-17," $  171.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40331,2022/10/21,2022/11/20,-17," $  65.900,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40332,2022/10/21,2022/11/20,-17," $  171.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40333,2022/10/21,2022/11/20,-17," $  65.900,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40334,2022/10/21,2022/11/20,-17," $  171.800,00 ",facturas-proveedores@airliquide.com
13050502,FVA ,900838988,AIR LIQUIDE COLOMBIA S.A.S.,40335,2022/10/21,2022/11/20,-17," $  299.979,90 ",facturas-proveedores@airliquide.com
